category_id,category_name
101445,Hệ thống khí xả
101001,Bộ lót thay tã
101002,Bệ thu nhỏ bồn cầu & Bô vệ sinh
101003,Tã dùng một lần
101004,Tã vải & Phụ kiện
101714,Thảm chơi nhạc
101715,Cũi & Quây em bé
101716,Đồ chơi nhà tắm
101717,"Đồ chơi treo cũi, nôi & Lục lạc"
101718,Gặm nướu
101007,Đồ chơi lắp ráp
101720,Búp bê & Phụ kiện
101721,Nhà búp bê & Phụ kiện
101722,Thú nhồi bông
101009,Đồ chơi nhập vai
101010,Xe đồ chơi
101724,"Xe đạp, Xe chòi chân & Xe điện"
100743,Album Ảnh
100744,Dụng Cụ May Vá
101415,Thiết bị định vị và Hệ thống hình ảnh/âm thanh
101416,Hệ thống loa
101417,Dụng cụ chứa
101419,Thảm & Đệm lót
101420,Gối tựa đầu & lưng
101421,Nệm giường ô tô
101422,Vô lăng & Bọc vô lăng
101423,Ghế & Áo ghế
101424,Giá đỡ điện thoại
101425,"Cốc sạc USB, Thiết bị thu phát FM & Bluetooth"
101426,Chân ga và Cần số
101427,Tấm che nắng và Thảm Taplo
101428,Khóa và thiết bị chống trộm
101429,Camera hành trình & Camera lùi
100980,Xe tập đi
101706,Chăn & Quấn em bé
101707,Gối
101708,Ga trải giường
100982,Kệ & Tủ
100984,Thiết bị giám sát trẻ
100985,Màn chống muỗi
100986,"Bộ đệm cũi, Quây cũi & Thanh chắn giường"
100987,Bọc góc & Cạnh
100988,Thanh chắn cửa & Cầu thang
100989,Khóa & Dây đai an toàn
100996,Chăm sóc mũi cho bé
101710,Sữa & Kem dưỡng da
101712,Phấn cho bé
100998,Chăm sóc răng miệng cho bé
100999,Chống nắng cho bé
100628,Khác
100583,Cáp âm thanh/ video & Đầu chuyển
100584,Khác
100780,Đồ ăn chế biến sẵn
100781,Khác
100782,Cơm và cháo ăn liền
100783,Lẩu ăn liền
100784,Mì ăn liền
100785,Kẹo
100786,Sô cô la
100787,Bánh quy
100788,Khoai tây lát
100789,Các loại hạt sấy khô
100790,Bỏng ngô
100791,Các loại rong biển ăn liền
100792,Các loại đậu sấy khô
101403,Đồ chơi rubik
101404,Đồ chơi con xoay
101405,Kendama
101406,Yo yo
101407,Đồ chơi điều khiển từ xa
101408,Đồ chơi trứng
101409,Khác
100740,Băng - Đĩa
101410,Đàn Piano & Organ
101411,Nhạc Cụ Gõ
101412,"Sáo, kèn"
101413,Phụ Kiện Âm Nhạc
102018,Đàn Ukulele
102019,Guitar & Bass
102020,Khác
100742,Đĩa Than
101702,"Ly, cốc cho bé"
101703,Đồ dùng ăn dặm
101704,Hộp trữ thức ăn cho bé
100957,Yếm
100958,Ti giả
100959,Máy xay cắt thực phẩm
100961,Đai hỗ trợ bụng
100962,Gối bầu
100968,Chậu tắm & Ghế tắm
100969,"Áo choàng tắm, Khăn tắm & Khăn mặt"
100970,Nón tắm
100971,Dụng cụ tắm & Phụ kiện
100974,Bộ chăm sóc trẻ sơ sinh
100975,Khăn lau
100978,Nôi & Cũi & Giường cho bé
100979,"Ghế rung, Ghế nhún & Xích đu tập đi"
101386,Tượng tĩnh
101387,Mô hình mecha/gundam
101388,Mô hình xe
101390,Bộ sưu tập nhân vật nổi tiếng
101391,Bộ sưu tập thể thao
101392,Bộ sưu tập hoạt hình truyện tranh
101393,Tiền xu & tiền giấy sưu tầm
101394,Khác
101395,Quạt Cầm Tay
101396,Móc khóa
101397,Ống tiết kiệm
101398,Nam Châm
101399,Khác
101400,Đồ chơi thẻ bài & boardgame
101401,Đồ chơi ảo thuật
101402,Đồ chơi chọc ghẹo
100946,Xe đẩy
100947,Phụ kiện xe đẩy
100948,Ghế ngồi ô tô & xe máy
100949,Phụ kiện ghế ngồi ô tô & xe máy
100950,Túi đựng bỉm sữa
100951,Dây & Đai dắt trẻ
101691,Túi ủ bình sữa
101692,Bình sữa & Phụ kiện
101693,Dụng cụ vệ sinh bình sữa
101694,Máy hâm sữa
101695,Máy tiệt trùng bình sữa
101697,Máy hút sữa & phụ kiện
101698,Miếng lót thấm sữa
101699,Khăn choàng cho con bú
101700,Túi trữ sữa
100955,Ghế ăn dặm
100875,Sữa tắm & chăm sóc cơ thể
101616,Sữa rửa mặt
101617,Kem dưỡng ẩm & dưỡng da
101618,Khác
101619,Dưỡng da sau cạo râu
101620,"Kem dưỡng, kem tạo bọt & gel"
101621,Dao cạo râu
101622,Máy cạo râu
101623,Cọ cạo râu
101624,Máy cạo râu đa chức năng
101625,Phụ kiện hỗ trợ cạo râu
101626,Khác
100878,Chăm sóc tóc
100661,Nước hoa
101627,Kem lót
101628,Kem nền
101370,Khác
101371,Đánh Dấu Trang
101372,Bọc Sách
101373,Giấy Nhiệt
101374,Giấy In
101375,Ruột Sổ
101376,Giấy Ghi Chú
101377,Giấy Mỹ Thuật
101378,"Tập, Vở Các Loại"
101379,Nhãn Dán Các Loại
101380,Khác
101381,Phong Bì & Bao Lì Xì
101382,Bưu Thiếp
101383,Tem Các Loại
100736,Khác
101385,Mô hình nhân vật
100925,Tã cho thú cưng
100926,Khay huấn luyện vệ sinh cho chó
100927,Túi & Xẻng dọn vệ sinh
100928,Khác
100929,Chăm sóc lông
100930,Chăm sóc răng miệng
100931,Chăm sóc móng
100932,Khác
100933,Quần áo thú cưng
100934,Áo mưa chó mèo
100935,"Giày, tất & bảo vệ móng"
100936,Phụ kiện đeo cổ
100937,Kính mắt
100938,Phụ kiện lông
100939,Mũ nón thú cưng
100945,Địu em bé
100027,Lắc chân
100028,Mũ
100029,Dây chuyền
100151,Kính mát
100152,Gọng kính
100153,Hộp kính và phụ kiện
100154,Khác
100155,Platinum & Vàng
100156,Bạc
100157,Kim cương
100158,"Ngọc bích, Cẩm thạch"
100159,Khác
100032,Thắt lưng
100033,Cà vạt & Nơ cổ
100160,Trâm & Ghim cài áo
100161,Miếng vá áo
102009,Dầu massage
102010,Kem tẩy lông & wax lông
102014,Chống nắng & chăm sóc sau đi nắng
102015,Thuốc nhuộm da
102012,Chăm sóc ngực
102013,Khác
100003,Hỗ trợ kiểm soát cân nặng
100004,Hỗ trợ làm đẹp
100005,Hỗ trợ tăng cơ
100006,Hỗ trợ sức khỏe
100420,Máy đo huyết áp
100421,Máy đo lượng đường trong máu
100422,Máy đo nồng độ oxy trong máu
100423,Nhiệt kế
100424,Khác
100122,Cân sức khỏe và phân tích cơ thể
101354,Đồ Bấm Kim và Kim Bấm
101355,Lịch
101356,Dụng Cụ Lưu Trữ Giấy Tờ
101357,Thước Các Loại & Giấy Nến
101358,Gọt bút chì
